id,name,type,birth,age ,position ,country
JL,Juliët Lohuis,0,1996,3,1,1
MT,Mira Todorova,0,1994,4,1,2
ET,Eline Timmerman,0,1998,2,1,1
HK,Hannah Kohn,0,2003,1,2,3
IVdV,Ilka Van de Vyver,0,1993,4,2,4
JN,Julia Nowicka,0,1998,2,2,5
SL,Simone Lee,0,1996,3,3,6
MSP,Maria Segura Pallerés,0,1992,4,3,7
HJ,Hester Jasper,0,2001,1,3,1
HD,Helena Dornheim,0,2004,1,3,3
KR,Krystal Rivers,0,1994,4,4,6
LB,Lara Berger,0,2001,1,4,3
RK,Roosa Koskelo,0,1991,4,5,8
LG,Lena Grundt,0,2004,1,5,3
SetUp65,Set Up 65,1,,,,
TTP,Talent Team Papendal,1,,,,
EA,Eurosped Almelo,1,,,,
CA,Coolen Alterno,1,,,,
USCM,USC Munster,1,,,,
RCC,RC Cannes,1,,,,
VLC,Volero Le Cannet,1,,,,
VZ,Volero Zurich,1,,,,
LCVB,Le Cannet Volley Ball,1,,,,
SAP,SmAesch Pfeffingen,1,,,,
VCM,VC Maritza,1,,,,
AA,Alterno Apeldoorn,1,,,,
EuT,Eurosped Twente,1,,,,
LBA,Ladies in Black Aachen,1,,,,
VfBU,VfB Ulm,1,,,,
OS,Olympiastutzpunkt Stuttgart,1,,,,
BS,Bundesstutzpunkt Stuttgart,1,,,,
AK,Asterix Kieldrecht,1,,,,
IBF,Il Bisonte Firenze,1,,,,
CL,Calcit Ljubljana,1,,,,
RRV,Rote Raben Vilsbiburg,1,,,,
CSMT,CSM Targoviste,1,,,,
GBL,Grot Budowlani Lodz,1,,,,
BKS,BKS Profi Credit Bielsko Biala,1,,,,
KSPB,KS Palac Bydgoszcz U20,1,,,,
SMS,SMS PZPS Szczyrk,1,,,,
KAF,Kurobe AquaFairies,1,,,,
Bey,Beylikduzu,1,,,,
IVC,Imoco Volley Conegliano,1,,,,
PSU,Penn State University,1,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,
DSC,Dresdner SC 1898,1,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,
STM,Saugella Team Monza,1,,,,
DIT,Delta Informatica Trentino,1,,,,
GHO,Geovillage Hermaea Olbia,1,,,,
CVB,CV Barcelona,1,,,,
VfBSLT,VfB Suhl Lotto Thueringen,1,,,,
VCS,VC Sneek,1,,,,
AMTVS,Allianz MTV Stuttgart II,1,,,,
UA,University of Alabama,1,,,,
BA,Beziers Angels,1,,,,
LB,Luka Bar (MNE),1,,,,
FVT,FV Tubinger Modell,1,,,,
VCOB,VCO Berlin,1,,,,
OKN,OK Nova KBM Branik,1,,,,
LPV,LP Viesti,1,,,,
LPK,LP Kangasala,1,,,,
HL,Haemeenlinnan Lentopallokerho,1,,,,
K,Kimmo,1,,,,
SP,Someron Pallo,1,,,,
EJMTVS,Eigene Jugend MTV Stuttgart,1,,,,
NL,Niederlande,1,,,,
BG,Bulgarien,1,,,,
DE,Deutschland,1,,,,
BE,Belgien,1,,,,
PL,Polen,1,,,,
USA,Amerika,1,,,,
ES,Spanien,1,,,,
FI,Finnland,1,,,,